nummer ; machine_type ; description ; expl_length ; newtons ; num_new
1; separate_parts ; Hot air balloon tied to a string, Spoked wheel, magnifying glass, dart, a bow with a arrow nocked, mouse, boot, and a weight tied with string and what looks to be a chainsaw ;33;  ;0
2; separate_parts ; I see a wheel, I see a see-saw, a boot, a rocket, a mouse, what looks to be an electric saw plugged in to an outlet, a balloon with a string attached, and a bow and arrow with a rope attached. I am not 100% sure what the drawing in the bottom left corner is, but I want to say it is a kettlebell with a rope attached.  ;68;  ;0
3; dysfunctional ; I can see a balloon with a weight on it, a bow and arrow with a rocket underneath it, which is firing an arrow at a hamster in a wheel. I can then see a chain saw, which is nailed onto the wall and plugged in for electricity.  ;48;  ;0
4; functional ; I see a series of items set up in a chain reaction. The mouse will run in the wheel that will make the boot hit the switch, which will turn on the saw which will cut the rope and fire the arrow. The arrow will pop the balloon and the weight will fall hitting the see saw and firing the rocket upwards. ;62;  ;0
5; separate_parts ; I see a balloon, a mouse, a boot, a rocket, a wheel, a weight, a spear gun, a electric saw and what looks like a moving aid with a board on a wheel. ;33;  ;0
6; functional ; There is a balloon floating with a weight attached to the bottom of it. Underneath the balloon is a launching pad which has a rocket on it. To the left of the balloon there is a contraption that consists of a wheel with a foot outside it and with a mouse inside that is running and turning the wheel to generate movement. This causes the foot to press a switch that has a cable leading to a saw. The saw is poised over and a wooden stand that is holding a loaded bow and arrow pointing at the balloon. The arrow will fire and hit the balloon which will then cause the weight to fall onto the launchpad and fire the rocket into the air. ;125;  ;0
7; functional ; There is a hamster in a wheel,  whilst running the shoe moves and kicks the switch to start the saw, which cut the rope to the bow, the arrow on the bow releases and shoots the balloon, which causes the weight to drop very quickly. The weight hits the board at a hard and strong pace on the let which causes the rocket on the right hand side to jump in the air.  ;73;  ;0
8; separate_parts ; In the picture there are various line draw pictures ayed out at random. At the top there is a crossboe. To the left of it there is a ballon on a string anf to the right there is an electric meat carver that is plugged in. Underneath there is another row of pictures that include a wheel from a bike, a weight on a rope, a little boot, a seesaw a rocket and a hamster. ;75;  ;0
9; functional ; The mouse is spinning the wheel that will kick the boot. This will hit the switch to turn on the chainsaw. This will cut the string holding back the bow, so it releases an arrow. The arrow will fly through tha air, popping the balloon. This will make the weight drop onto the seesaw, so the rocket on the other side is propelled into the air. ;66;  ;0
10; functional ; I see a wheel with a mouse inside of it, that has a boot attached on the bottom left quadrant of the wheel. The boot is raised on it's heel pointing towards what appears to be a switch that is connected to the end of a chainsaw, that's also hung up on a nail. The chainsaw is pointed towards a machine that is hooked up to a crossbow, that's pointing at a balloon which is weighted down. Below that balloon is a floor being balanced by something that has a rocket ship on it. ;94;  ;0
